weeks;colonieslow;coloniesmed;colonieshigh;treeshea;treesatt;treedec;fields;temp;begincolonies
50;201;64;199;83389;17;436;160000;8;1
50;637;233;698;82752;54;1480;160000;8;3
50;878;296;947;81858;80;1964;160000;8;5
50;1569;586;1731;80249;167;3600;160000;8;10
50;7510;2788;8139;65958;682;17201;160000;8;50
50;13750;4997;14437;51662;1054;31298;160000;8;100
50;179;61;217;83566;17;425;160000;9;1
50;482;168;499;82892;48;1076;160000;9;3
50;770;318;879;82062;85;1814;160000;9;5
50;1782;673;1965;79525;166;4106;160000;9;10
50;7759;2920;8488;65239;700;17930;160000;9;50
50;13281;4939;14185;52226;1052;30514;160000;9;100
50;588;192;569;82943;16;1310;160000;10;1
50;2170;719;2154;78943;92;4896;160000;10;3
50;4414;1596;4507;73682;218;10131;160000;10;5
50;6934;2576;6909;68086;289;15876;160000;10;10
50;23662;8411;23160;29191;578;54153;160000;10;50
50;31723;11094;30384;11358;503;72282;160000;10;100
50;947;300;897;82252;37;2071;160000;12;1
50;2271;817;2299;78535;115;5207;160000;12;3
50;3436;1216;3499;75962;141;7901;160000;12;5
50;6080;2241;6230;69408;260;14071;160000;12;10
50;23152;8348;22875;29895;619;53215;160000;12;50
50;32588;11299;30857;9376;397;74006;160000;12;100
50;947;288;882;81747;24;2055;160000;14;1
50;2384;825;2340;78669;140;5320;160000;14;3
50;3874;1384;3854;75012;190;8797;160000;14;5
50;7116;2474;7078;67652;311;16108;160000;14;10
50;25044;8994;23999;26638;650;56921;160000;14;50
50;31503;11350;30264;11400;388;72370;160000;14;100
50;880;312;871;81989;45;1991;160000;16;1
50;1854;676;1844;80020;99;4186;160000;16;3
50;3636;1250;3522;75875;135;8170;160000;16;5
50;6324;2361;6466;68709;322;14620;160000;16;10
50;22903;8146;22408;30808;595;52350;160000;16;50
50;30331;10685;29213;13911;406;69438;160000;16;100
50;1476;539;1410;80469;35;3357;160000;18;1
50;5035;1720;4859;72342;143;11331;160000;18;3
50;10135;3492;9952;60955;317;23030;160000;18;5
50;14036;5072;13533;51426;369;32026;160000;18;10
50;34285;11965;32183;5711;216;78012;160000;18;50
50;36058;12642;34024;1214;41;82598;160000;18;100
50;1881;658;1811;79636;47;4264;160000;20;1
50;5111;1772;5021;72426;142;11677;160000;20;3
50;7543;2732;7520;66567;201;17406;160000;20;5
50;14612;5140;14084;50377;341;33217;160000;20;10
50;32798;11219;30827;9368;228;74424;160000;20;50
50;36607;12542;34286;870;8;83364;160000;20;100
50;1429;565;1432;80277;45;3352;160000;22;1
50;5445;1858;5234;71382;141;12286;160000;22;3
50;8589;2923;8137;64140;211;19257;160000;22;5
50;17412;6194;16804;43657;367;39740;160000;22;10
50;34714;12038;32721;4534;264;79010;160000;22;50
50;35690;12305;33220;3282;97;81006;160000;22;100
50;4194;1444;3909;74978;85;9368;160000;24;1
50;6768;2317;6533;68572;110;15406;160000;24;3
50;14889;5217;14244;49725;230;33945;160000;24;5
50;22349;7677;21048;33013;282;50573;160000;24;10
50;36375;12558;34142;1037;17;83012;160000;24;50
50;36235;12847;34277;710;0;83318;160000;24;100
50;3990;1371;3806;74791;99;8992;160000;26;1
50;9704;3278;9107;62126;210;21732;160000;26;3
50;12301;4441;11828;55687;250;28136;160000;26;5
50;23072;7947;21559;31403;261;52130;160000;26;10
50;36210;12517;34069;1473;41;82703;160000;26;50
50;36536;12816;34179;636;0;83477;160000;26;100
50;5014;1691;4641;72584;61;11249;160000;28;1
50;7941;2808;7623;65744;123;18146;160000;28;3
50;18699;6391;17600;41274;183;42394;160000;28;5
50;29925;10048;27682;16513;230;67300;160000;28;10
50;36635;12438;34271;850;11;83298;160000;28;50
50;36532;12587;34228;791;0;83301;160000;28;100
50;4271;1547;4221;74347;69;9915;160000;30;1
50;10904;3656;10527;59087;153;24838;160000;30;3
50;19931;6730;18746;38729;253;44970;160000;30;5
50;25502;8725;24018;26001;215;57858;160000;30;10
50;36481;12619;33891;709;1;82967;160000;30;50
50;36526;12640;34005;654;0;83114;160000;30;100
50;3257;1219;3096;76485;39;7501;160000;32;1
50;11153;4018;10728;58131;146;25634;160000;32;3
50;19941;6752;18813;38538;198;45140;160000;32;5
50;25869;8816;24294;25226;212;58566;160000;32;10
50;36411;12351;34100;732;0;82839;160000;32;50
50;36357;12745;34293;691;0;83347;160000;32;100
50;5848;2008;5546;70560;108;13227;160000;34;1
50;12621;4289;12110;55000;182;28710;160000;34;3
50;22107;7619;20819;33643;296;50078;160000;34;5
50;27593;9613;26342;20327;219;63174;160000;34;10
50;36030;12447;33294;2473;36;81650;160000;34;50
50;36597;12676;34444;627;0;83669;160000;34;100
50;5769;1913;5476;70652;103;12974;160000;36;1
50;12331;4359;11830;55653;191;28157;160000;36;3
50;17106;5888;16008;44873;120;38751;160000;36;5
50;27658;9628;26146;20937;205;63071;160000;36;10
50;36800;12703;34221;692;8;83677;160000;36;50
50;36343;12737;34149;679;0;83180;160000;36;100
50;202;73;211;83636;13;457;160000;8;1
50;528;205;535;82772;34;1200;160000;8;3
50;796;328;917;82017;77;1880;160000;8;5
50;1617;595;1766;80170;169;3669;160000;8;10
50;185;80;226;83379;16;469;160000;9;1
50;601;239;667;82467;64;1406;160000;9;3
50;876;331;920;81605;99;1966;160000;9;5
50;1872;675;2066;80008;193;4276;160000;9;10
50;844;267;878;82051;47;1924;160000;10;1
50;2327;882;2374;78159;113;5389;160000;10;3
50;3262;1230;3260;76087;141;7514;160000;10;5
50;6699;2310;6563;69004;280;15095;160000;10;10
50;1061;359;961;81471;38;2317;160000;12;1
50;2391;856;2448;77928;118;5475;160000;12;3
50;4579;1591;4476;73505;207;10278;160000;12;5
50;7791;2655;7650;66469;313;17534;160000;12;10
50;761;293;742;82119;42;1729;160000;14;1
50;2228;800;2200;78699;115;5037;160000;14;3
50;3931;1415;3837;74665;168;8871;160000;14;5
50;7249;2501;7248;66941;272;16481;160000;14;10
50;2207;799;2143;78584;63;5042;160000;16;1
50;5611;1970;5477;71053;153;12775;160000;16;3
50;8343;2816;7887;65052;217;18659;160000;16;5
50;15767;5580;15565;47315;407;36197;160000;16;10
50;657;232;656;82226;8;1522;160000;18;1
50;5714;1955;5733;70417;168;13102;160000;18;3
50;8635;3046;8406;63987;232;19705;160000;18;5
50;14730;5193;14061;49989;346;33367;160000;18;10
50;3070;987;2890;77324;55;6842;160000;20;1
50;9652;3248;9150;61918;175;21761;160000;20;3
50;13231;4564;12719;53359;191;30155;160000;20;5
50;23517;8071;22254;30374;289;53345;160000;20;10
50;3889;1354;3711;75341;73;8814;160000;22;1
50;8858;3125;8532;63602;194;20155;160000;22;3
50;11371;3922;10717;58177;196;25681;160000;22;5
50;19950;6687;18773;38600;288;44908;160000;22;10
50;4144;1337;3866;74901;67;9224;160000;24;1
50;18180;6174;16906;43452;295;40757;160000;24;3
50;16344;5721;15559;46381;178;37300;160000;24;5
50;25125;8903;23861;26401;167;57548;160000;24;10
50;3867;1224;3586;75560;56;8570;160000;26;1
50;13618;4767;12806;52985;170;30905;160000;26;3
50;22803;7712;21324;32282;263;51375;160000;26;5
50;28241;9650;26395;19861;161;64014;160000;26;10
50;9680;3316;9021;62125;131;21763;160000;28;1
50;13818;4560;13174;52179;135;31299;160000;28;3
50;25204;8655;23829;26140;186;57361;160000;28;5
50;35471;11783;32747;3869;81;79863;160000;28;10
50;9297;3251;8853;62680;142;21137;160000;30;1
50;13704;4704;12914;52713;161;31057;160000;30;3
50;22895;7943;21642;31933;254;52026;160000;30;5
50;31861;10694;29831;11664;134;72152;160000;30;10
50;6985;2262;6581;68655;55;15733;160000;32;1
50;16488;5540;15490;46594;179;37219;160000;32;3
50;25412;8589;23690;26628;222;57309;160000;32;5
50;26319;8903;24710;24373;193;59571;160000;32;10
50;7773;2587;7311;66070;69;17554;160000;34;1
50;10935;3811;10353;59231;128;24861;160000;34;3
50;26790;9493;25644;22036;164;61610;160000;34;5
50;35755;12027;33379;2740;74;81029;160000;34;10
